name,opta_name,position,team,opponent,venue,clean_sheet_prob,predicted_fpl_points,goals,assists,shots,sot,passes,tackles,saves,yellows,avg_bps
Tom Heaton,T. Heaton,GK,Man Utd,Everton,Home,38%,5.3,0.0,0.0,0.0,0.0,29.66,0.02,2.39,0.04,0.0
Giorgi Mamardashvili,G. Mamardashvili,GK,Liverpool,Nott'm Forest,Home,41%,5.3,0.0,0.0,0.0,0.0,25.27,0.02,2.17,0.04,6.363636363636363
Jason Steele,J. Steele,GK,Brighton,Brentford,Home,33%,5.29,0.0,0.0,0.0,0.0,36.09,0.03,2.77,0.05,0.0
Jurriën Timber,J. Timber,DEF,Arsenal,Spurs,Home,48%,5.29,0.09,0.13,0.89,0.29,39.22,1.97,0.0,0.14,23.363636363636363
Bart Verbruggen,B. Verbruggen,GK,Brighton,Brentford,Home,33%,5.26,0.0,0.0,0.0,0.0,32.03,0.02,2.72,0.05,13.454545454545457
Ethan Nwaneri,E. Nwaneri,MID,Arsenal,Spurs,Home,48%,5.25,0.31,0.21,2.46,0.94,31.27,1.12,0.0,0.09,1.5454545454545454
Antonín Kinský,A. Kinský,GK,Spurs,Arsenal,Away,13%,5.24,0.0,0.0,0.0,0.0,31.22,0.03,4.24,0.07,0.0
Daniel Bentley,D. Bentley,GK,Wolves,Crystal Palace,Home,23%,5.24,0.0,0.0,0.0,0.0,31.48,0.03,3.46,0.06,0.0
Gabriel Martinelli Silva,Gabriel Martinelli,MID,Arsenal,Spurs,Home,48%,5.23,0.32,0.19,2.17,0.9,20.41,0.81,0.0,0.06,5.090909090909091
Sam Johnstone,S. Johnstone,GK,Wolves,Crystal Palace,Home,23%,5.22,0.0,0.0,0.0,0.0,32.22,0.03,3.43,0.06,7.090909090909091
Martin Dúbravka,M. Dúbravka,GK,Burnley,Chelsea,Home,17%,5.21,0.0,0.0,0.0,0.0,27.42,0.03,3.89,0.07,14.272727272727272
Mads Hermansen,M. Hermansen,GK,West Ham,Bournemouth,Away,15%,5.21,0.0,0.0,0.0,0.0,32.44,0.03,4.04,0.07,2.4545454545454546
Angus Gunn,A. Gunn,GK,Nott'm Forest,Liverpool,Away,12%,5.19,0.0,0.0,0.0,0.0,30.3,0.03,4.23,0.07,0.0
Václav Hladký,V. Hladký,GK,Burnley,Chelsea,Home,17%,5.19,0.0,0.0,0.0,0.0,31.75,0.03,3.84,0.06,0.0
Matthew Cox,M. Cox,GK,Brentford,Brighton,Away,20%,5.19,0.0,0.0,0.0,0.0,31.59,0.03,3.63,0.07,0.0
Max Weiß,M. Weiß,GK,Burnley,Chelsea,Home,17%,5.18,0.0,0.0,0.0,0.0,34.25,0.03,3.84,0.07,0.0
Julian Eyestone,J. Eyestone,GK,Brentford,Brighton,Away,20%,5.18,0.0,0.0,0.0,0.0,27.31,0.03,3.6,0.06,0.0
Andre Harriman-Annous,A. Harriman-Annous,MID,Arsenal,Spurs,Home,48%,5.17,0.36,0.12,2.02,0.89,14.37,0.84,0.0,0.09,0.0
Aaron Ramsdale,A. Ramsdale,GK,Newcastle,Man City,Home,20%,5.17,0.0,0.0,0.0,0.0,30.88,0.03,3.58,0.06,-0.1818181818181818
Caoimhín Kelleher,C. Kelleher,GK,Brentford,Brighton,Away,20%,5.14,0.0,0.0,0.0,0.0,28.56,0.02,3.53,0.06,11.727272727272728
Martin Ødegaard,M. Ødegaard,MID,Arsenal,Spurs,Home,48%,5.13,0.3,0.2,2.31,0.9,40.06,0.88,0.0,0.08,4.2727272727272725
Guglielmo Vicario,G. Vicario,GK,Spurs,Arsenal,Away,13%,5.13,0.0,0.0,0.0,0.0,32.94,0.03,4.07,0.07,19.727272727272727
Anthony Patterson,A. Patterson,GK,Sunderland,Fulham,Away,25%,5.12,0.0,0.0,0.0,0.0,31.75,0.02,3.11,0.05,0.0
José Malheiro de Sá,José Sá,GK,Wolves,Crystal Palace,Home,23%,5.11,0.0,0.0,0.0,0.0,30.28,0.03,3.26,0.06,0.6363636363636364
Ellery Balcombe,E. Balcombe,GK,Brentford,Brighton,Away,20%,5.1,0.0,0.0,0.0,0.0,31.33,0.03,3.47,0.06,0.0
Hákon Rafn Valdimarsson,H. Valdimarsson,GK,Brentford,Brighton,Away,20%,5.1,0.0,0.0,0.0,0.0,34.44,0.03,3.47,0.06,0.0
Harry Tyrer,H. Tyrer,GK,Everton,Man Utd,Away,18%,5.1,0.0,0.0,0.0,0.0,30.56,0.03,3.62,0.06,0.0
Mark Gillespie,M. Gillespie,GK,Newcastle,Man City,Home,20%,5.07,0.0,0.0,0.0,0.0,29.09,0.03,3.43,0.06,0.0
Gabriel dos Santos Magalhães,Gabriel Magalhães,DEF,Arsenal,Spurs,Home,48%,5.06,0.11,0.05,0.94,0.3,62.16,0.86,0.0,0.13,25.363636363636363
Simon Moore,S. Moore,GK,Sunderland,Fulham,Away,25%,5.06,0.0,0.0,0.0,0.0,25.97,0.02,3.02,0.05,0.0
Nick Pope,N. Pope,GK,Newcastle,Man City,Home,20%,5.06,0.0,0.0,0.0,0.0,25.36,0.03,3.42,0.07,20.09090909090909
Noni Madueke,N. Madueke,MID,Arsenal,Spurs,Home,48%,5.05,0.26,0.24,2.08,0.82,24.92,1.02,0.0,0.08,3.5454545454545454
John Victor Maciel Furtado,John Victor,GK,Nott'm Forest,Liverpool,Away,12%,5.04,0.0,0.0,0.0,0.0,30.73,0.03,3.98,0.06,0.0
Matz Sels,M. Sels,GK,Nott'm Forest,Liverpool,Away,12%,5.04,0.0,0.0,0.0,0.0,27.92,0.03,3.99,0.06,9.181818181818182
Divine Mukasa,D. Mukasa,MID,Man City,Newcastle,Away,30%,5.03,0.3,0.22,2.72,1.04,37.41,1.12,0.0,0.12,0.0
Alejandro Garnacho Ferreyra,A. Garnacho,MID,Chelsea,Burnley,Away,45%,5.03,0.3,0.18,2.34,0.93,25.92,0.81,0.0,0.08,9.0
Dominik Szoboszlai,D. Szoboszlai,MID,Liverpool,Nott'm Forest,Home,41%,5.01,0.23,0.3,2.16,0.75,63.56,1.45,0.0,0.12,19.63636363636364
Lukasz Fabianski,Ł. Fabiański,GK,West Ham,Bournemouth,Away,15%,5.01,0.0,0.0,0.0,0.0,30.16,0.03,3.71,0.06,0.0
Benjamin White,B. White,DEF,Arsenal,Spurs,Home,48%,5.0,0.06,0.11,0.66,0.2,43.22,1.5,0.0,0.1,2.090909090909091
Matheus Santos Carneiro da Cunha,Matheus Cunha,MID,Man Utd,Everton,Home,38%,5.0,0.33,0.15,2.85,1.04,28.61,0.9,0.0,0.12,11.272727272727272
Patrick Dorgu,P. Dorgu,DEF,Man Utd,Everton,Home,38%,4.97,0.11,0.13,1.19,0.39,34.06,1.83,0.0,0.15,6.181818181818182
Phil Foden,P. Foden,MID,Man City,Newcastle,Away,30%,4.97,0.28,0.24,2.25,0.91,37.91,0.66,0.0,0.08,15.0
Alphonse Areola,A. Areola,GK,West Ham,Bournemouth,Away,15%,4.95,0.0,0.0,0.0,0.0,26.34,0.02,3.62,0.06,7.090909090909091
Calvin Ramsay,C. Ramsay,DEF,Liverpool,Nott'm Forest,Home,41%,4.95,0.08,0.15,0.85,0.26,60.25,1.53,0.0,0.13,0.0
Marc Cucurella Saseta,Marc Cucurella,DEF,Chelsea,Burnley,Away,45%,4.94,0.08,0.1,0.89,0.27,48.97,2.19,0.0,0.19,20.363636363636363
Chido Obi,C. Obi,FWD,Man Utd,Everton,Home,38%,4.93,0.49,0.09,3.0,1.23,11.8,0.44,0.0,0.1,0.0
Jordan Pickford,J. Pickford,GK,Everton,Man Utd,Away,18%,4.91,0.0,0.0,0.0,0.0,32.78,0.03,3.33,0.06,15.545454545454543
Mark Travers,M. Travers,GK,Everton,Man Utd,Away,18%,4.89,0.0,0.0,0.0,0.0,27.3,0.02,3.29,0.06,0.0
Ismaïla Sarr,I. Sarr,MID,Crystal Palace,Wolves,Away,38%,4.88,0.34,0.1,2.13,0.9,18.5,0.55,0.0,0.07,13.0
Kevin Santos Lopes de Macedo,Kevin,MID,Fulham,Sunderland,Home,40%,4.88,0.27,0.2,2.48,0.89,27.89,1.17,0.0,0.1,5.125
Tom King,T. King,GK,Everton,Man Utd,Away,18%,4.87,0.0,0.0,0.0,0.0,30.05,0.02,3.25,0.05,0.0
Marcus Tavernier,M. Tavernier,MID,Bournemouth,West Ham,Home,38%,4.86,0.26,0.22,2.5,0.89,36.59,1.41,0.0,0.13,13.818181818181818
Reece James,R. James,DEF,Chelsea,Burnley,Away,45%,4.85,0.05,0.13,0.7,0.19,58.63,2.12,0.0,0.17,17.272727272727273
Maxim De Cuyper,M. De Cuyper,DEF,Brighton,Brentford,Home,33%,4.85,0.12,0.14,1.31,0.44,28.69,1.46,0.0,0.13,5.818181818181818
Myles Lewis-Skelly,M. Lewis-Skelly,DEF,Arsenal,Spurs,Home,48%,4.84,0.05,0.09,0.61,0.19,41.66,1.42,0.0,0.12,1.7272727272727273
Jérémy Doku,J. Doku,MID,Man City,Newcastle,Away,30%,4.81,0.28,0.2,1.99,0.83,31.0,0.94,0.0,0.1,15.0
Piero Hincapié,P. Hincapié,DEF,Arsenal,Spurs,Home,48%,4.81,0.05,0.08,0.59,0.17,39.31,1.85,0.0,0.14,0.875
Milos Kerkez,M. Kerkez,DEF,Liverpool,Nott'm Forest,Home,41%,4.8,0.06,0.14,0.63,0.19,42.97,1.33,0.0,0.09,7.818181818181818
Brandon Austin,B. Austin,GK,Spurs,Arsenal,Away,13%,4.8,0.0,0.0,0.0,0.0,26.39,0.03,3.53,0.06,0.0
Marc Guiu Paz,Marc Guiu,FWD,Chelsea,Burnley,Away,45%,4.78,0.47,0.08,2.38,1.06,11.22,0.36,0.0,0.08,-0.0909090909090909
Benjamin Sesko,B. Šeško,FWD,Man Utd,Everton,Home,38%,4.77,0.45,0.1,2.57,1.09,13.86,0.41,0.0,0.08,8.181818181818182
Donyell Malen,D. Malen,MID,Aston Villa,Leeds,Away,33%,4.76,0.34,0.09,1.97,0.85,13.1,0.41,0.0,0.08,8.272727272727273
Tyrique George,T. George,MID,Chelsea,Burnley,Away,45%,4.76,0.27,0.16,1.87,0.77,24.84,0.92,0.0,0.08,0.1818181818181818
Malo Gusto,M. Gusto,DEF,Chelsea,Burnley,Away,45%,4.75,0.05,0.1,0.6,0.18,46.19,1.99,0.0,0.15,12.727272727272728
Virgil van Dijk,V. van Dijk,DEF,Liverpool,Nott'm Forest,Home,41%,4.75,0.11,0.05,0.89,0.28,72.44,0.84,0.0,0.12,13.636363636363637
Gabriel Fernando de Jesus,Gabriel Jesus,FWD,Arsenal,Spurs,Home,48%,4.74,0.37,0.19,2.31,0.98,22.61,1.05,0.0,0.09,0.0
Rayan Cherki,R. Cherki,MID,Man City,Newcastle,Away,30%,4.74,0.26,0.21,2.02,0.81,40.19,0.93,0.0,0.09,7.818181818181818
Jayden Danns,J. Danns,FWD,Liverpool,Nott'm Forest,Home,41%,4.74,0.42,0.13,2.41,1.01,15.73,0.52,0.0,0.07,0.0
Justin Kluivert,J. Kluivert,MID,Bournemouth,West Ham,Home,38%,4.73,0.27,0.18,2.29,0.84,27.69,0.75,0.0,0.11,5.090909090909091
Pedro Lomba Neto,Pedro Neto,MID,Chelsea,Burnley,Away,45%,4.72,0.23,0.22,1.79,0.72,29.25,0.66,0.0,0.08,18.818181818181817
Andrew Robertson,A. Robertson,DEF,Liverpool,Nott'm Forest,Home,41%,4.7,0.05,0.13,0.58,0.18,56.31,1.3,0.0,0.08,5.181818181818182
Borna Sosa,B. Sosa,DEF,Crystal Palace,Wolves,Away,38%,4.7,0.06,0.15,0.81,0.25,35.66,1.47,0.0,0.11,0.2727272727272727
Julio Soler Barreto,J. Soler,DEF,Bournemouth,West Ham,Home,38%,4.68,0.08,0.12,1.07,0.31,38.63,1.87,0.0,0.19,0.1818181818181818
Max Dowman,M. Dowman,MID,Arsenal,Spurs,Home,48%,4.66,0.23,0.19,2.1,0.78,26.08,1.49,0.0,0.13,1.3
Harry Wilson,H. Wilson,MID,Fulham,Sunderland,Home,40%,4.65,0.25,0.18,2.24,0.82,25.39,0.81,0.0,0.09,12.0
Asher Agbinone,A. Agbinone,MID,Crystal Palace,Wolves,Away,38%,4.63,0.28,0.13,2.19,0.88,20.08,0.79,0.0,0.09,0.0
Diego León Blanco,D. León,DEF,Man Utd,Everton,Home,38%,4.63,0.08,0.09,1.07,0.31,32.06,1.84,0.0,0.12,0.0
Enzo Fernández,E. Fernández,MID,Chelsea,Burnley,Away,45%,4.62,0.23,0.2,2.16,0.77,57.19,1.04,0.0,0.14,18.0
Daniel Muñoz Mejía,D. Muñoz,DEF,Crystal Palace,Wolves,Away,38%,4.62,0.07,0.11,0.77,0.25,33.03,2.11,0.0,0.15,18.63636363636364
Tijjani Reijnders,T. Reijnders,MID,Man City,Newcastle,Away,30%,4.61,0.28,0.15,2.09,0.82,36.41,0.92,0.0,0.11,13.181818181818182
Jamie Bynoe-Gittens,J. Gittens,MID,Chelsea,Burnley,Away,45%,4.6,0.24,0.17,1.97,0.76,25.11,1.13,0.0,0.11,2.5454545454545454
Junior Kroupi,J. Kroupi,FWD,Bournemouth,West Ham,Home,38%,4.6,0.4,0.12,2.58,1.04,17.88,0.48,0.0,0.07,12.090909090909092
Travis Patterson,T. Patterson,DEF,Aston Villa,Leeds,Away,33%,4.59,0.1,0.12,0.99,0.35,28.66,1.67,0.0,0.18,0.0
Zach Marsh,Z. Marsh,FWD,Crystal Palace,Wolves,Away,38%,4.59,0.43,0.09,2.33,1.03,15.08,0.48,0.0,0.12,0.0
Bruno Borges Fernandes,Bruno Fernandes,MID,Man Utd,Everton,Home,38%,4.58,0.22,0.21,2.53,0.84,59.81,1.42,0.0,0.13,22.09090909090909
Tom Watson,T. Watson,MID,Brighton,Brentford,Home,33%,4.56,0.25,0.17,2.26,0.84,21.94,1.02,0.0,0.1,0.8181818181818182
Omar Marmoush,Omar Marmoush,MID,Man City,Newcastle,Away,30%,4.56,0.29,0.12,2.45,0.96,18.56,0.95,0.0,0.12,4.090909090909091
Amad Diallo,A. Diallo,MID,Man Utd,Everton,Home,38%,4.53,0.24,0.17,1.91,0.72,38.25,1.03,0.0,0.1,16.363636363636363
Sávio Moreira de Oliveira,Savinho,MID,Man City,Newcastle,Away,30%,4.51,0.24,0.19,1.75,0.73,30.13,0.81,0.0,0.1,5.454545454545454
Kenny Tete,K. Tete,DEF,Fulham,Sunderland,Home,40%,4.51,0.05,0.1,0.7,0.19,44.47,2.24,0.0,0.18,11.545454545454543
Ian Maatsen,I. Maatsen,DEF,Aston Villa,Leeds,Away,33%,4.49,0.08,0.12,0.87,0.29,36.47,1.69,0.0,0.14,3.0
Raúl Jiménez Rodríguez,R. Jiménez,FWD,Fulham,Sunderland,Home,40%,4.49,0.4,0.1,2.52,1.01,15.06,0.68,0.0,0.12,7.636363636363637
Antonee Robinson,A. Robinson,DEF,Fulham,Sunderland,Home,40%,4.49,0.04,0.11,0.54,0.15,45.59,1.81,0.0,0.13,1.0909090909090908
James Hill,J. Hill,DEF,Bournemouth,West Ham,Home,38%,4.47,0.06,0.09,0.81,0.22,40.16,1.77,0.0,0.13,5.545454545454546
Cristhian Mosquera,Cristhian Mosquera,DEF,Arsenal,Spurs,Home,48%,4.46,0.04,0.02,0.37,0.11,65.25,1.14,0.0,0.14,5.818181818181818
Ibrahima Konaté,I. Konaté,DEF,Liverpool,Nott'm Forest,Home,41%,4.46,0.08,0.03,0.67,0.2,64.19,1.02,0.0,0.14,12.909090909090908
William Saliba,W. Saliba,DEF,Arsenal,Spurs,Home,48%,4.46,0.04,0.02,0.4,0.12,72.19,0.88,0.0,0.12,16.181818181818183
Diogo Dalot Teixeira,Diogo Dalot,DEF,Man Utd,Everton,Home,38%,4.45,0.05,0.1,0.66,0.19,39.09,1.54,0.0,0.1,5.2727272727272725
David Brooks,D. Brooks,MID,Bournemouth,West Ham,Home,38%,4.44,0.22,0.18,1.94,0.71,27.13,0.72,0.0,0.08,8.545454545454545
Joe Gomez,J. Gomez,DEF,Liverpool,Nott'm Forest,Home,41%,4.44,0.04,0.08,0.53,0.15,50.56,1.53,0.0,0.1,0.8181818181818182
Adrien Truffert,A. Truffert,DEF,Bournemouth,West Ham,Home,38%,4.43,0.04,0.12,0.56,0.15,48.13,1.69,0.0,0.13,14.545454545454543
Timothy Castagne,T. Castagne,DEF,Fulham,Sunderland,Home,40%,4.43,0.04,0.09,0.63,0.17,39.63,1.75,0.0,0.12,2.909090909090909
Nico O'Reilly,N. O'Reilly,DEF,Man City,Newcastle,Away,30%,4.41,0.09,0.11,0.96,0.32,41.22,2.04,0.0,0.14,16.272727272727273
Caleb Kporha,C. Kporha,DEF,Crystal Palace,Wolves,Away,38%,4.4,0.05,0.09,0.66,0.2,30.56,2.07,0.0,0.15,0.0
Benoît Badiashile Mukinayi,B. Badiashile,DEF,Chelsea,Burnley,Away,45%,4.38,0.05,0.02,0.5,0.15,73.38,1.0,0.0,0.15,0.2727272727272727
Josh Acheampong,J. Acheampong,DEF,Chelsea,Burnley,Away,45%,4.37,0.05,0.02,0.49,0.14,72.56,1.12,0.0,0.17,8.181818181818182
Tosin Adarabioyo,T. Adarabioyo,DEF,Chelsea,Burnley,Away,45%,4.37,0.05,0.02,0.5,0.15,67.63,1.04,0.0,0.16,5.454545454545454
Danny Welbeck,D. Welbeck,FWD,Brighton,Brentford,Home,33%,4.36,0.38,0.09,2.14,0.91,17.64,0.46,0.0,0.08,17.818181818181817
Álex Jiménez Sánchez,Álex Jiménez,DEF,Bournemouth,West Ham,Home,38%,4.36,0.05,0.08,0.63,0.18,36.16,1.72,0.0,0.13,5.375
Trevoh Chalobah,T. Chalobah,DEF,Chelsea,Burnley,Away,45%,4.36,0.05,0.02,0.51,0.15,70.38,0.96,0.0,0.16,18.818181818181817
Rodrigo Muniz Carvalho,Rodrigo Muniz,FWD,Fulham,Sunderland,Home,40%,4.34,0.39,0.08,2.33,0.96,10.17,0.44,0.0,0.11,4.2727272727272725
Jorrel Hato,J. Hato,DEF,Chelsea,Burnley,Away,45%,4.32,0.04,0.02,0.4,0.11,65.13,1.21,0.0,0.15,0.4545454545454545
Marc Guéhi,M. Guéhi,DEF,Crystal Palace,Wolves,Away,38%,4.31,0.07,0.05,0.78,0.22,64.88,1.49,0.0,0.19,19.454545454545453
Ollie Watkins,O. Watkins,FWD,Aston Villa,Leeds,Away,33%,4.3,0.38,0.08,1.95,0.87,13.05,0.32,0.0,0.08,7.363636363636363
Ferdi Kadıoğlu,F. Kadıoğlu,DEF,Brighton,Brentford,Home,33%,4.3,0.06,0.11,0.76,0.22,38.41,1.68,0.0,0.14,9.0
Igor Thiago Nascimento Rodrigues,Igor Thiago,FWD,Brentford,Brighton,Away,20%,4.3,0.38,0.09,2.4,0.98,16.28,0.79,0.0,0.17,21.90909090909091
Harry Maguire,H. Maguire,DEF,Man Utd,Everton,Home,38%,4.29,0.08,0.02,0.78,0.23,52.97,0.88,0.0,0.13,7.545454545454546
Igor Jesus Maciel da Cruz,Igor Jesus,FWD,Nott'm Forest,Liverpool,Away,12%,4.28,0.37,0.09,2.46,0.99,15.14,0.52,0.0,0.12,3.727272727272727
Rhys Williams,R. Williams,DEF,Liverpool,Nott'm Forest,Home,41%,4.27,0.06,0.02,0.56,0.17,63.06,0.86,0.0,0.14,0.0
Amara Nallo,A. Nallo,DEF,Liverpool,Nott'm Forest,Home,41%,4.26,0.05,0.03,0.56,0.16,65.56,1.28,0.0,0.15,0.0
Alex Iwobi,A. Iwobi,MID,Fulham,Sunderland,Home,40%,4.26,0.19,0.17,1.79,0.61,44.09,0.89,0.0,0.07,15.909090909090908
Declan Rice,D. Rice,MID,Arsenal,Spurs,Home,48%,4.26,0.14,0.23,1.51,0.49,59.16,1.51,0.0,0.11,23.09090909090909
Georginio Rutter,G. Rutter,MID,Brighton,Brentford,Home,33%,4.25,0.25,0.1,1.88,0.72,19.5,1.0,0.0,0.12,8.0
Levi Samuels Colwill,L. Colwill,DEF,Chelsea,Burnley,Away,45%,4.25,0.04,0.02,0.43,0.12,63.75,1.22,0.0,0.22,0.0
Joachim Andersen,J. Andersen,DEF,Fulham,Sunderland,Home,40%,4.25,0.06,0.03,0.7,0.19,66.06,1.01,0.0,0.16,12.727272727272728
Wesley Fofana,W. Fofana,DEF,Chelsea,Burnley,Away,45%,4.25,0.04,0.02,0.5,0.14,63.03,1.45,0.0,0.24,6.545454545454546
Samuel Chukwueze,S. Chukwueze,MID,Fulham,Sunderland,Home,40%,4.25,0.2,0.15,1.78,0.65,24.02,0.93,0.0,0.07,2.375
Eddie Nketiah,E. Nketiah,FWD,Crystal Palace,Wolves,Away,38%,4.24,0.37,0.08,2.06,0.9,14.42,0.52,0.0,0.11,3.5454545454545454
Tyrell Malacia,T. Malacia,DEF,Man Utd,Everton,Home,38%,4.24,0.03,0.09,0.44,0.11,45.53,1.98,0.0,0.16,0.0
Tyrick Mitchell,T. Mitchell,DEF,Crystal Palace,Wolves,Away,38%,4.23,0.03,0.08,0.42,0.11,35.5,2.21,0.0,0.15,19.272727272727277
Yoane Wissa,Y. Wissa,FWD,Newcastle,Man City,Home,20%,4.23,0.37,0.08,2.19,0.93,15.27,0.51,0.0,0.12,0.0
Matty Cash,M. Cash,DEF,Aston Villa,Leeds,Away,33%,4.21,0.05,0.11,0.7,0.21,37.19,1.87,0.0,0.18,16.272727272727273
Maxence Lacroix,M. Lacroix,DEF,Crystal Palace,Wolves,Away,38%,4.19,0.07,0.02,0.66,0.2,50.56,1.28,0.0,0.18,18.363636363636363
Jack Grealish,J. Grealish,MID,Everton,Man Utd,Away,18%,4.18,0.21,0.18,1.74,0.66,38.44,1.1,0.0,0.11,19.818181818181817
Noussair Mazraoui,N. Mazraoui,DEF,Man Utd,Everton,Home,38%,4.18,0.03,0.07,0.42,0.11,42.81,2.03,0.0,0.15,4.0
Matthijs de Ligt,M. de Ligt,DEF,Man Utd,Everton,Home,38%,4.18,0.06,0.02,0.58,0.17,62.81,1.04,0.0,0.11,13.181818181818182
Adama Traoré Diarra,Adama Traoré,MID,Fulham,Sunderland,Home,40%,4.18,0.18,0.17,1.65,0.6,22.47,0.79,0.0,0.08,3.727272727272727
Jack Fletcher,J. Fletcher,MID,Man Utd,Everton,Home,38%,4.17,0.18,0.16,2.01,0.67,39.72,1.42,0.0,0.09,0.0
Emile Smith Rowe,E. Smith Rowe,MID,Fulham,Sunderland,Home,40%,4.17,0.2,0.13,1.59,0.58,29.56,0.85,0.0,0.06,4.818181818181818
Lisandro Martínez,Lisandro Martínez,DEF,Man Utd,Everton,Home,38%,4.16,0.05,0.04,0.72,0.19,69.94,1.2,0.0,0.15,0.0
Samuel Amissah,S. Amissah,DEF,Fulham,Sunderland,Home,40%,4.15,0.05,0.02,0.51,0.14,69.25,1.02,0.0,0.15,0.0
Morgan Rogers,M. Rogers,MID,Aston Villa,Leeds,Away,33%,4.14,0.23,0.11,1.74,0.69,21.53,0.9,0.0,0.14,10.454545454545457
Rayan Aït-Nouri,R. Aït-Nouri,DEF,Man City,Newcastle,Away,30%,4.13,0.06,0.1,0.74,0.23,40.09,2.06,0.0,0.17,3.4545454545454546
Jamaldeen Jimoh-Aloba,J. Jimoh-Aloba,MID,Aston Villa,Leeds,Away,33%,4.13,0.22,0.13,1.65,0.65,23.8,1.23,0.0,0.19,0.0
João Pedro Junqueira de Jesus,João Pedro,FWD,Chelsea,Burnley,Away,45%,4.13,0.3,0.14,1.98,0.83,26.02,0.81,0.0,0.11,22.545454545454547
Giovanni Leoni,G. Leoni,DEF,Liverpool,Nott'm Forest,Home,41%,4.13,0.04,0.02,0.39,0.11,71.5,1.1,0.0,0.15,0.0
Chris Richards,C. Richards,DEF,Crystal Palace,Wolves,Away,38%,4.13,0.05,0.03,0.58,0.16,51.56,1.65,0.0,0.17,17.818181818181817
Rodrigo Martins Gomes,Rodrigo Gomes,DEF,Wolves,Crystal Palace,Home,23%,4.11,0.11,0.08,1.26,0.43,21.03,1.17,0.0,0.1,1.818181818181818
Ryan McAidoo,R. McAidoo,MID,Man City,Newcastle,Away,30%,4.11,0.21,0.13,1.79,0.7,19.84,1.15,0.0,0.12,0.0
Jayden Bogle,J. Bogle,DEF,Leeds,Aston Villa,Home,29%,4.1,0.07,0.08,0.91,0.28,29.06,2.2,0.0,0.17,6.2727272727272725
Leny Yoro,L. Yoro,DEF,Man Utd,Everton,Home,38%,4.09,0.05,0.02,0.54,0.15,62.66,1.21,0.0,0.14,6.181818181818182
Issa Diop,I. Diop,DEF,Fulham,Sunderland,Home,40%,4.09,0.04,0.02,0.46,0.12,66.06,0.94,0.0,0.14,0.8181818181818182
Jorge Cuenca Barreno,Jorge Cuenca,DEF,Fulham,Sunderland,Home,40%,4.09,0.04,0.02,0.53,0.14,66.25,1.07,0.0,0.15,2.272727272727273
Ben Broggio,B. Broggio,MID,Aston Villa,Leeds,Away,33%,4.08,0.19,0.15,1.54,0.6,26.52,1.01,0.0,0.11,0.0
Lucas Digne,L. Digne,DEF,Aston Villa,Leeds,Away,33%,4.08,0.03,0.11,0.48,0.14,33.19,1.53,0.0,0.14,15.454545454545457
Jadon Sancho,J. Sancho,MID,Aston Villa,Leeds,Away,33%,4.07,0.18,0.16,1.34,0.54,28.48,0.74,0.0,0.07,1.181818181818182
Charlie Tasker,C. Tasker,DEF,Brighton,Brentford,Home,33%,4.06,0.04,0.08,0.6,0.16,34.09,2.17,0.0,0.16,0.0
Ayden Heaven,A. Heaven,DEF,Man Utd,Everton,Home,38%,4.06,0.05,0.02,0.65,0.17,61.5,1.31,0.0,0.18,1.2727272727272727
Yankuba Minteh,Y. Minteh,MID,Brighton,Brentford,Home,33%,4.06,0.17,0.17,1.73,0.62,20.94,1.59,0.0,0.14,17.545454545454547
Chris Wood,C. Wood,FWD,Nott'm Forest,Liverpool,Away,12%,4.05,0.34,0.07,1.8,0.8,11.39,0.31,0.0,0.08,7.727272727272727
Marcos Senesi Barón,M. Senesi,DEF,Bournemouth,West Ham,Home,38%,4.05,0.04,0.04,0.56,0.14,65.13,1.47,0.0,0.2,16.272727272727273
Calvin Bassey,C. Bassey,DEF,Fulham,Sunderland,Home,40%,4.04,0.03,0.03,0.41,0.11,68.13,1.21,0.0,0.17,9.363636363636363
Jacob Bruun Larsen,J. Strand Larsen,MID,Burnley,Chelsea,Home,17%,4.03,0.27,0.06,1.8,0.73,15.76,0.43,0.0,0.11,4.2727272727272725
Adam Smith,A. Smith,DEF,Bournemouth,West Ham,Home,38%,4.03,0.02,0.06,0.29,0.07,36.91,1.4,0.0,0.14,2.8181818181818183
Andrés García,Andrés García,DEF,Aston Villa,Leeds,Away,33%,4.02,0.03,0.09,0.48,0.13,36.63,1.86,0.0,0.15,0.0
Harvey Elliott,H. Elliott,MID,Aston Villa,Leeds,Away,33%,4.02,0.19,0.13,1.51,0.58,30.83,0.7,0.0,0.07,1.181818181818182
Amine Adli,A. Adli,MID,Bournemouth,West Ham,Home,38%,4.01,0.18,0.13,1.56,0.57,25.38,1.15,0.0,0.1,3.8
Yéremy Pino Santos,Yeremy Pino,MID,Crystal Palace,Wolves,Away,38%,4.01,0.17,0.15,1.72,0.62,24.7,1.48,0.0,0.15,6.888888888888889
Tolu Arokodare,T. Arokodare,FWD,Wolves,Crystal Palace,Home,23%,4.01,0.34,0.06,2.21,0.91,12.59,0.39,0.0,0.1,3.125
Diego Gómez Amarilla,D. Gómez,MID,Brighton,Brentford,Home,33%,4.0,0.19,0.12,1.86,0.64,25.48,1.78,0.0,0.14,11.727272727272728
Liam Delap,L. Delap,FWD,Chelsea,Burnley,Away,45%,4.0,0.34,0.06,1.9,0.82,10.16,0.36,0.0,0.1,1.9090909090909087
