name,opta_name,position,team,opponent,venue,clean_sheet_prob,predicted_fpl_points,goals,assists,shots,sot,passes,tackles,saves,yellows,avg_bps
Amadou Onana,A. Onana,MID,Aston Villa,Leeds,Away,33%,2.82,0.06,0.05,0.7,0.21,36.47,1.99,0.0,0.24,10.090909090909092
Ezra Mayers,E. Mayers,DEF,West Ham,Bournemouth,Away,15%,2.82,0.02,0.02,0.31,0.09,44.84,1.32,0.0,0.17,0.0
Jacob Ramsey,J. Ramsey,MID,Newcastle,Man City,Home,20%,2.81,0.07,0.05,0.89,0.27,22.95,1.54,0.0,0.15,3.0
Landon Emenalo,L. Emenalo,MID,Chelsea,Burnley,Away,45%,2.81,0.02,0.06,0.35,0.1,35.63,2.02,0.0,0.16,0.0
Jay Matete,J. Matete,MID,Sunderland,Fulham,Away,25%,2.8,0.06,0.06,0.86,0.25,37.97,1.7,0.0,0.2,0.0
Sander Berge,S. Berge,MID,Fulham,Sunderland,Home,40%,2.8,0.04,0.05,0.52,0.14,58.94,1.45,0.0,0.16,13.454545454545457
Micky van de Ven,M. van de Ven,DEF,Spurs,Arsenal,Away,13%,2.8,0.04,0.01,0.42,0.13,46.97,1.13,0.0,0.19,19.09090909090909
Kaden Rodney,K. Rodney,MID,Crystal Palace,Wolves,Away,38%,2.79,0.04,0.05,0.57,0.16,38.69,1.56,0.0,0.16,0.0
Nicolás Domínguez,N. Domínguez,MID,Nott'm Forest,Liverpool,Away,12%,2.79,0.06,0.07,0.8,0.25,27.61,2.01,0.0,0.15,1.6363636363636365
Carlos Baleba,C. Baleba,MID,Brighton,Brentford,Home,33%,2.79,0.06,0.04,0.94,0.24,39.5,1.87,0.0,0.23,6.454545454545454
Jean-Clair Todibo,J. Todibo,DEF,West Ham,Bournemouth,Away,15%,2.78,0.02,0.01,0.22,0.06,39.81,1.5,0.0,0.18,3.090909090909091
João Victor Gomes da Silva,João Gomes,MID,Wolves,Crystal Palace,Home,23%,2.78,0.06,0.06,0.98,0.26,37.72,2.4,0.0,0.26,12.0
Joe Knight,J. Knight,MID,Brighton,Brentford,Home,33%,2.78,0.05,0.05,0.79,0.19,36.59,2.23,0.0,0.24,0.2727272727272727
Paris Maghoma,P. Maghoma,MID,Brentford,Brighton,Away,20%,2.77,0.06,0.07,0.91,0.24,37.72,1.61,0.0,0.21,0.0
Nikola Milenković,N. Milenković,DEF,Nott'm Forest,Liverpool,Away,12%,2.77,0.04,0.01,0.36,0.11,38.75,0.95,0.0,0.16,7.090909090909091
Tanaka Ao,A. Tanaka,MID,Leeds,Aston Villa,Home,29%,2.76,0.05,0.05,0.84,0.23,35.81,1.99,0.0,0.21,4.636363636363637
Lucas Bergvall,L. Bergvall,MID,Spurs,Arsenal,Away,13%,2.76,0.07,0.05,0.73,0.26,19.89,1.42,0.0,0.12,7.454545454545454
James Ward-Prowse,J. Ward-Prowse,MID,West Ham,Bournemouth,Away,15%,2.76,0.05,0.09,0.75,0.22,36.38,1.26,0.0,0.16,7.454545454545454
Granit Xhaka,G. Xhaka,MID,Sunderland,Fulham,Away,25%,2.76,0.04,0.09,0.7,0.18,55.34,1.66,0.0,0.23,21.272727272727277
Tomáš Souček,T. Souček,MID,West Ham,Bournemouth,Away,15%,2.75,0.09,0.03,0.87,0.29,32.78,1.01,0.0,0.17,9.181818181818182
Andy Irving,A. Irving,MID,West Ham,Bournemouth,Away,15%,2.75,0.06,0.07,0.98,0.28,31.27,1.55,0.0,0.18,4.090909090909091
Ola Aina,O. Aina,DEF,Nott'm Forest,Liverpool,Away,12%,2.73,0.01,0.04,0.24,0.06,28.72,1.92,0.0,0.17,1.818181818181818
Antoni Milambo,A. Milambo,MID,Brentford,Brighton,Away,20%,2.73,0.06,0.05,0.75,0.22,26.39,1.68,0.0,0.18,0.4545454545454545
Dário Luís Essugo,Dário Essugo,MID,Chelsea,Burnley,Away,45%,2.73,0.04,0.03,0.63,0.17,36.28,2.25,0.0,0.27,0.0
Seung-Soo Park,Park Seung-Soo,MID,Newcastle,Man City,Home,20%,2.72,0.04,0.07,0.6,0.18,29.66,1.47,0.0,0.13,0.0
Josh Dasilva,J. Dasilva,MID,Brentford,Brighton,Away,20%,2.72,0.04,0.07,0.64,0.18,29.36,1.63,0.0,0.14,0.0
Endo Wataru,W. Endo,MID,Liverpool,Nott'm Forest,Home,41%,2.72,0.04,0.03,0.48,0.13,69.63,1.44,0.0,0.17,1.818181818181818
Willy Boly,W. Boly,DEF,Nott'm Forest,Liverpool,Away,12%,2.72,0.03,0.01,0.34,0.1,36.03,1.42,0.0,0.17,0.0
Cristian Romero,C. Romero,DEF,Spurs,Arsenal,Away,13%,2.7,0.03,0.01,0.37,0.1,48.0,1.5,0.0,0.24,13.454545454545457
Boubacar Kamara,B. Kamara,MID,Aston Villa,Leeds,Away,33%,2.7,0.04,0.05,0.52,0.14,42.56,2.13,0.0,0.25,11.636363636363637
Tyler Adams,T. Adams,MID,Bournemouth,West Ham,Home,38%,2.7,0.04,0.03,0.57,0.14,52.69,2.02,0.0,0.21,16.818181818181817
Roméo Lavia,R. Lavia,MID,Chelsea,Burnley,Away,45%,2.69,0.03,0.03,0.43,0.11,48.84,1.89,0.0,0.22,2.0
Mateus Gonçalo Espanha Fernandes,Mateus Fernandes,MID,West Ham,Bournemouth,Away,15%,2.68,0.05,0.07,0.78,0.21,35.06,2.28,0.0,0.24,14.333333333333334
Radu Drăgușin,R. Drăgușin,DEF,Spurs,Arsenal,Away,13%,2.68,0.02,0.01,0.23,0.07,40.19,0.99,0.0,0.16,0.0
Lewis Miley,L. Miley,MID,Newcastle,Man City,Home,20%,2.67,0.05,0.04,0.66,0.18,41.41,1.83,0.0,0.15,5.636363636363637
James Rowswell,J. Rowswell,DEF,Spurs,Arsenal,Away,13%,2.67,0.02,0.01,0.29,0.08,42.0,1.46,0.0,0.2,0.0
Jun'ai Byfield,J. Byfield,DEF,Spurs,Arsenal,Away,13%,2.65,0.02,0.01,0.31,0.09,47.22,1.43,0.0,0.22,0.0
Ryan Yates,R. Yates,MID,Nott'm Forest,Liverpool,Away,12%,2.65,0.07,0.05,0.86,0.25,33.34,1.77,0.0,0.25,4.2727272727272725
Takai Kōta,K. Takai,DEF,Spurs,Arsenal,Away,13%,2.65,0.02,0.01,0.28,0.08,40.41,1.41,0.0,0.22,0.0
Jair Paula da Cunha Filho,Jair Cunha,DEF,Nott'm Forest,Liverpool,Away,12%,2.65,0.02,0.01,0.23,0.07,36.53,1.15,0.0,0.15,0.8181818181818182
Kevin Danso,K. Danso,DEF,Spurs,Arsenal,Away,13%,2.64,0.02,0.01,0.31,0.09,38.31,1.29,0.0,0.22,4.363636363636363
Idrissa Gana Gueye,I. Gueye,MID,Everton,Man Utd,Away,18%,2.63,0.05,0.05,0.75,0.2,38.88,2.39,0.0,0.25,18.454545454545453
Ethan Ampadu,E. Ampadu,MID,Leeds,Aston Villa,Home,29%,2.62,0.04,0.04,0.58,0.15,41.16,2.29,0.0,0.26,11.363636363636363
Murillo Costa dos Santos,Murillo,DEF,Nott'm Forest,Liverpool,Away,12%,2.61,0.02,0.01,0.32,0.09,37.81,1.43,0.0,0.21,5.0
Ilia Gruev,I. Gruev,MID,Leeds,Aston Villa,Home,29%,2.6,0.03,0.04,0.49,0.13,41.13,1.76,0.0,0.18,3.8181818181818175
Kalvin Phillips,K. Phillips,MID,Man City,Newcastle,Away,30%,2.59,0.04,0.04,0.65,0.16,43.44,1.7,0.0,0.26,0.0
Felipe Rodrigues da Silva,Morato,DEF,Nott'm Forest,Liverpool,Away,12%,2.56,0.01,0.01,0.2,0.05,39.38,1.62,0.0,0.2,3.4545454545454546
Jordan Henderson,J. Henderson,MID,Brentford,Brighton,Away,20%,2.56,0.03,0.06,0.43,0.11,43.84,1.07,0.0,0.15,13.0
Pape Matar Sarr,P. Sarr,MID,Spurs,Arsenal,Away,13%,2.55,0.05,0.04,0.72,0.21,34.5,2.2,0.0,0.23,12.727272727272728
Frank Onyeka,F. Onyeka,MID,Brentford,Brighton,Away,20%,2.53,0.04,0.04,0.63,0.16,29.53,2.13,0.0,0.25,3.727272727272727
Josh Cullen,J. Cullen,MID,Burnley,Chelsea,Home,17%,2.51,0.03,0.05,0.52,0.14,38.34,1.82,0.0,0.19,20.181818181818183
Tim Iroegbunam,T. Iroegbunam,MID,Everton,Man Utd,Away,18%,2.51,0.04,0.03,0.55,0.15,25.0,2.46,0.0,0.24,5.545454545454546
Dan Neil,D. Neil,MID,Sunderland,Fulham,Away,25%,2.49,0.03,0.03,0.52,0.13,39.03,1.92,0.0,0.22,0.6363636363636364
Vitaly Janelt,V. Janelt,MID,Brentford,Brighton,Away,20%,2.49,0.03,0.04,0.52,0.13,30.28,1.77,0.0,0.2,2.727272727272727
Yehor Yarmoliuk,Y. Yarmoliuk,MID,Brentford,Brighton,Away,20%,2.49,0.03,0.03,0.47,0.12,32.91,2.18,0.0,0.19,12.909090909090908
Rodrigo Bentancur,R. Bentancur,MID,Spurs,Arsenal,Away,13%,2.45,0.04,0.03,0.59,0.16,31.48,1.97,0.0,0.21,13.545454545454543
Josh Laurent,J. Laurent,MID,Burnley,Chelsea,Home,17%,2.44,0.04,0.02,0.47,0.13,32.5,1.28,0.0,0.16,6.727272727272728
Florentino Ibrain Morris Luís,Florentino,MID,Burnley,Chelsea,Home,17%,2.44,0.03,0.03,0.49,0.13,33.69,3.01,0.0,0.28,15.375
